company,year,debt_equity,prev_debt_equity,de_change
MSFT,2015,0.4407,0.2522,0.1885
MSFT,2016,0.7425,0.4407,0.3018
MSFT,2017,0.9827,0.7425,0.2402
MSFT,2018,0.9217,0.9827,-0.061
MSFT,2019,0.7053,0.9217,-0.2164
MSFT,2020,0.5353,0.7053,-0.17
MSFT,2021,0.4095,0.5353,-0.1258
MSFT,2022,0.2989,0.4095,-0.1106
MSFT,2023,0.2291,0.2989,-0.0698
NVDA,2009,0.0107,,
NVDA,2010,0.0092,0.0107,-0.0015
NVDA,2011,0.0074,0.0092,-0.0018
NVDA,2012,0.0052,0.0074,-0.0022
NVDA,2013,0.0039,0.0052,-0.0013
NVDA,2014,0.3083,0.0039,0.3044
NVDA,2015,0.3164,0.3083,0.0081
NVDA,2016,0.3379,0.3164,0.0215
NVDA,2017,0.4877,0.3379,0.1498
NVDA,2018,0.2677,0.4877,-0.22
NVDA,2019,0.2128,0.2677,-0.0549
NVDA,2020,0.1631,0.2128,-0.0497
NVDA,2021,0.4122,0.1631,0.2491
NVDA,2022,0.4113,0.4122,-0.0009
NVDA,2023,0.4956,0.4113,0.0843
PCG,2009,1.2063,,
PCG,2010,1.1613,1.2063,-0.045
PCG,2011,1.1241,1.1613,-0.0372
PCG,2012,1.0062,1.1241,-0.1179
PCG,2013,1.0127,1.0062,0.0065
PCG,2014,0.9802,1.0127,-0.0325
PCG,2015,1.0164,0.9802,0.0362
PCG,2016,1.0134,1.0164,-0.003
PCG,2017,0.9824,1.0134,-0.031
PCG,2018,1.7046,0.9824,0.7222
PCG,2019,0.0,1.7046,-1.7046
PCG,2020,1.9227,0.0,1.9227
PCG,2021,2.1152,1.9227,0.1925
PCG,2022,2.2563,2.1152,0.1411
PYPL,2014,0.1325,,
PYPL,2015,0.0,0.1325,-0.1325
PYPL,2016,0.0,0.0,0.0
PYPL,2017,0.0625,0.0,0.0625
PYPL,2018,0.1299,0.0625,0.0674
PYPL,2019,0.2933,0.1299,0.1634
PYPL,2020,0.4455,0.2933,0.1522
PYPL,2021,0.3705,0.4455,-0.075
PYPL,2022,0.5138,0.3705,0.1433
SHLDQ,2009,0.301,,
SHLDQ,2010,0.2655,0.301,-0.0355
SHLDQ,2011,0.3707,0.2655,0.1052
SHLDQ,2012,0.8047,0.3707,0.434
SHLDQ,2013,0.9836,0.8047,0.1789
SHLDQ,2014,1.9464,0.9836,0.9628
SHLDQ,2015,-3.9958,1.9464,-5.9422
SHLDQ,2016,-1.5215,-3.9958,2.4743
SHLDQ,2017,-1.0887,-1.5215,0.4328
SHLDQ,2018,-1.1099,-1.0887,-0.0212
